loan_id,customer_id,loan_type,loan_amount,interest_rate,term_months,start_date,monthly_payment,remaining_balance,status
LOAN000001,CUST001502,Auto,10039,0.0472,60,2021-11-29,188.16,4948.18,Current
LOAN000002,CUST002587,Mortgage,340502,0.0438,360,2024-12-20,1701.65,271258.37,Paid Off
LOAN000003,CUST002654,Auto,48275,0.0639,48,2025-09-22,1142.35,41394.66,Delinquent
LOAN000004,CUST001056,Personal,38407,0.1162,60,2022-08-27,846.9,23423.98,Delinquent
LOAN000005,CUST000706,Mortgage,172152,0.0318,240,2024-08-06,970.02,129290.37,Current
LOAN000006,CUST000107,Auto,22591,0.0436,48,2025-05-29,513.72,4059.97,Current
LOAN000007,CUST000590,Student,88958,0.0656,240,2021-07-03,666.47,53270.07,Paid Off
LOAN000008,CUST002469,Student,37432,0.0783,180,2021-04-27,354.06,29149.49,Paid Off
LOAN000009,CUST002414,Personal,39252,0.0926,48,2025-02-05,981.62,28310.4,Current
LOAN000010,CUST001601,Auto,32724,0.0683,36,2023-05-16,1007.88,7093.34,Current
LOAN000011,CUST002465,Mortgage,117880,0.0388,240,2023-06-22,707.09,39802.09,Current
LOAN000012,CUST000229,Personal,25337,0.0888,24,2021-08-02,1156.07,7645.69,Current
LOAN000013,CUST000916,Personal,27769,0.0871,24,2023-10-07,1264.98,3764.29,Paid Off
LOAN000014,CUST000795,Personal,13720,0.1084,24,2024-06-28,638.44,1582.02,Current
LOAN000015,CUST003022,Student,14937,0.0756,240,2022-11-01,120.86,7812.69,Current
LOAN000016,CUST003544,Auto,10072,0.063,48,2024-06-06,237.94,4467.78,Current
LOAN000017,CUST001074,Mortgage,136036,0.0356,180,2019-03-13,976.51,95534.53,Current
LOAN000018,CUST003352,Personal,28591,0.076,48,2025-05-15,692.64,16501.36,Current
LOAN000019,CUST001745,Auto,38420,0.058,48,2025-05-07,898.75,25501.14,Current
LOAN000020,CUST001085,Personal,17666,0.079,24,2025-06-18,798.2,2492.98,Delinquent
LOAN000021,CUST000927,Personal,14120,0.0926,60,2023-09-13,294.91,5338.37,Current
LOAN000022,CUST003050,Personal,34728,0.0691,36,2020-05-03,1070.95,23330.61,Delinquent
LOAN000023,CUST001118,Personal,29952,0.0706,12,2025-01-20,2592.44,13724.58,Current
LOAN000024,CUST000643,Personal,27698,0.064,36,2023-11-22,847.65,3688.58,Current
LOAN000025,CUST004768,Mortgage,346699,0.0419,240,2019-02-09,2136.45,188688.65,Paid Off
LOAN000026,CUST000502,Mortgage,421021,0.0392,180,2020-01-20,3097.78,280583.02,Current
LOAN000027,CUST004067,Mortgage,208013,0.0396,180,2022-01-27,1534.46,185269.39,Current
LOAN000028,CUST000334,Mortgage,207437,0.0563,240,2025-09-16,1442.74,74916.41,Current
LOAN000029,CUST004685,Personal,35361,0.0894,60,2019-06-22,733.06,15073.34,Current
LOAN000030,CUST000487,Auto,41993,0.0554,48,2016-03-20,977.33,32523.21,Current
LOAN000031,CUST001963,Auto,16213,0.0544,72,2024-05-07,264.45,11814.08,Current
LOAN000032,CUST000394,Personal,19692,0.0748,48,2019-12-09,475.96,8377.35,Current
LOAN000033,CUST004843,Mortgage,138788,0.0435,180,2024-09-19,1051.46,39880.25,Current
LOAN000034,CUST004867,Mortgage,235559,0.0464,180,2024-01-30,1818.63,104621.84,Current
LOAN000035,CUST001756,Auto,33668,0.052,48,2025-04-04,778.38,3674.2,Current
LOAN000036,CUST002516,Auto,49342,0.0403,48,2022-02-25,1114.66,43978.36,Delinquent
LOAN000037,CUST003586,Mortgage,171228,0.0404,360,2025-03-09,821.3,127297.16,Current
LOAN000038,CUST004316,Personal,39998,0.0922,48,2019-11-13,999.51,29351.58,Current
LOAN000039,CUST004967,Mortgage,212530,0.0343,240,2024-08-08,1225.1,36675.56,Current
LOAN000040,CUST002100,Personal,8486,0.0828,12,2025-09-01,739.28,4066.43,Current
LOAN000041,CUST003600,Personal,32937,0.0691,48,2025-08-24,787.41,26260.03,Current
LOAN000042,CUST004122,Auto,36149,0.0596,72,2025-03-03,598.43,11922.2,Current
LOAN000043,CUST000030,Mortgage,190106,0.0513,240,2020-12-07,1268.58,92071.0,Current
LOAN000044,CUST000066,Student,54760,0.042,240,2017-05-18,337.62,25287.98,Current
LOAN000045,CUST000839,Student,81419,0.0517,180,2017-09-06,651.12,27139.64,Current
LOAN000046,CUST003907,Personal,17270,0.0989,24,2017-12-03,796.07,13999.63,Current
LOAN000047,CUST003774,Auto,21681,0.0486,72,2021-09-04,347.75,9438.05,Current
LOAN000048,CUST004636,Auto,23229,0.0489,72,2023-10-24,372.95,20525.58,Current
LOAN000049,CUST003162,Student,71864,0.0775,240,2022-07-15,590.1,24561.04,Current
LOAN000050,CUST002660,Auto,24346,0.0446,48,2020-10-12,554.72,20285.29,Current
LOAN000051,CUST004616,Auto,13131,0.0626,60,2024-06-13,255.46,2662.28,Current
LOAN000052,CUST004629,Auto,37799,0.0472,36,2025-04-02,1128.06,9504.21,Current
LOAN000053,CUST002452,Personal,44216,0.0647,24,2023-08-31,1969.15,21443.77,Current
LOAN000054,CUST002847,Mortgage,294485,0.0588,360,2022-01-27,1743.12,158224.58,Current
LOAN000055,CUST001145,Auto,35633,0.0498,60,2024-02-22,672.15,6397.02,Current
LOAN000056,CUST003079,Mortgage,106430,0.0567,180,2025-07-04,879.13,61362.02,Current
LOAN000057,CUST001104,Mortgage,155952,0.0445,240,2020-02-18,982.7,108983.29,Current
LOAN000058,CUST000169,Mortgage,130440,0.0313,240,2020-11-23,732.26,76442.88,Current
LOAN000059,CUST001671,Mortgage,392725,0.0364,240,2024-10-20,2305.47,48276.32,Current
